_id,Property Name,Reported,Tax Parcel,Property Type,Address,Year Built
2102,,Not Compliant,305560010,CONDO MAIN,821 831 WASHINGTON ST,
2103,,Not Compliant,2101515000,CONDO MAIN,85 BRAINERD RD,
2104,,Not Compliant,400554010,CONDO MAIN,301 - 319 COLUMBUS AV,
2105,,Not Compliant,1000308000,CONDO MAIN,386 378 RIVERWAY ST,
2106,,Not Compliant,503934020,CONDO MAIN,498 -528 COMMONWEALTH AV,
2107,,Not Compliant,401147000,CONDO MAIN,219 223 COLUMBUS AV,
2108,,Not Compliant,2102180000,CONDO MAIN,132 116 SUTHERLAND RD,
2109,,Not Compliant,2011354000,CONDO MAIN,95 99 GROVE ST,
2110,,Not Compliant,2205124000,CONDO MAIN,185 189 CHESTNUT HILL AV,
2111,,Not Compliant,900860010,CONDO MAIN,1721 WASHINGTON ST,
2112,,Not Compliant,501607000,CONDO MAIN,37 BEACON ST,
2113,,Not Compliant,604434000,CONDO MAIN,125 145 FARRAGUT RD,
2114,,Not Compliant,601728000,CONDO MAIN,314 330 W SECOND ST,
2115,,Not Compliant,501380000,CONDO MAIN,190 184 COMMONWEALTH AV,
2116,,Not Compliant,304782010,CONDO MAIN,449 463 WASHINGTON ST,
2117,,Not Compliant,1801543000,CONDO MAIN,25 ALPINE ST,
2118,,Not Compliant,2102330000,CONDO MAIN,8 4 CHISWICK RD,
2119,,Not Compliant,2102215000,CONDO MAIN,1734 1714 COMMONWEALTH AV,
2120,,Not Compliant,401037920,CONDO MAIN,778 BOYLSTON ST,
2121,,Not Compliant,303822110,CONDO MAIN,3 MCKINLEY SQ,
2122,,Not Compliant,2101916000,CONDO MAIN,1607 COMMONWEALTH AV,
2123,,Not Compliant,2100921000,CONDO MAIN,28 QUINT AV,
2124,,Not Compliant,504245000,CONDO MAIN,31 35 QUEENSBERRY ST,
2125,,Not Compliant,504290000,CONDO MAIN,107 111 JERSEY ST,
2126,,Not Compliant,2102405000,CONDO MAIN,46 36 ORKNEY RD,
2127,,Not Compliant,503692000,CONDO MAIN,490 492 BEACON ST,
2128,,Not Compliant,503228000,CONDO MAIN,201 NEWBURY ST,
2129,,Not Compliant,501278000,CONDO MAIN,52 COMMONWEALTH AV,
2130,,Not Compliant,2102366000,CONDO MAIN,52 48 STRATHMORE RD,
2131,,Not Compliant,2101707100,CONDO MAIN,300 ALLSTON ST,
2132,,Not Compliant,1605381000,CONDO MAIN,135 GRANITE AV,
2133,,Not Compliant,602643020,CONDO MAIN,101 SEAPORT BL,
2134,,Not Compliant,2101749000,CONDO MAIN,301 ALLSTON ST,
2135,,Not Compliant,1102178000,CONDO MAIN,65 CORNWALL ST,
2136,,Not Compliant,801374000,CONDO MAIN,10 ST GEORGE ST,
2137,,Not Compliant,600053010,CONDO MAIN,45 -55 W BROADWAY  ,
2138,,Not Compliant,2102352000,CONDO MAIN,6 2 SUTHERLAND RD,
2139,,Not Compliant,2101770000,CONDO MAIN,1488 1476 COMMONWEALTH AV,
2140,,Not Compliant,2101414000,CONDO MAIN,1408 1394 COMMONWEALTH AV,
2141,,Not Compliant,2010343000,CONDO MAIN,5 17 CASS ST,
2142,,Not Compliant,2200650000,CONDO MAIN,26 WAVERLY ST,
2143,,Not Compliant,503187000,CONDO MAIN,282 274 COMMONWEALTH AV,
2144,,Not Compliant,1001783000,CONDO MAIN,238 246 S HUNTINGTON AV,
2145,,Not Compliant,900400050,CONDO MAIN,1595 1631 WASHINGTON ST,
2146,,Not Compliant,900956000,CONDO MAIN,255 265 NORTHAMPTON ST,
2147,,Not Compliant,500810000,CONDO MAIN,20 -54 PARK PZ,
2148,,Not Compliant,304242000,CONDO MAIN,88 100 KINGSTON ST,
2149,,Not Compliant,1701640000,CONDO MAIN,245 265 NORFOLK ST,
2150,,Not Compliant,2102013000,CONDO MAIN,1666 1662 COMMONWEALTH AV,
2151,,Not Compliant,2003590000,CONDO MAIN,200 -232 ALLANDALE ST,
2152,,Not Compliant,502633000,CONDO MAIN,250 BEACON ST,
2470,,Not Compliant,602641200,CONDO MAIN,23-55 NORTHERN AV,
2477,,Not Compliant,600301000,CONDO MAIN,152 156 W BROADWAY,
2478,,Not Compliant,601233000,CONDO MAIN,45 W THIRD ST,
2479,,Not Compliant,2102015000,CONDO MAIN,1650 COMMONWEALTH AV,
2481,,Not Compliant,103859000,CONDO MAIN,70 BREMEN ST,
1958,,Not Compliant,801391022,CO-OP APARTMENT,45 E NEWTON ST,
